Shot ID,Shots Since Up To Air,Shots Since Li GUN Coat,Shots Since Li POT Coat,Graph (20913)
2160,"5000","5000","5000","1"
2161,"5000","5000","5000","1"
2162,"5000","5000","5000","1"
2163,"5000","5000","5000","1"
2164,"5000","5000","5000","1"
2165,"5000","5000","5000","1"
2166,"5000","5000","5000","1"
2167,"5000","5000","5000","1"
2168,"5000","5000","5000","1"
2169,"5000","5000","5000","1"
2170,"5000","5000","5000","1"
2171,"5000","5000","5000","1"
2172,"5000","5000","5000","1"
2173,"5000","5000","5000","1"
2174,"5000","5000","5000","1"
2175,"5000","5000","5000","1"
2176,"5000","5000","5000","1"
2177,"5000","5000","5000","1"
2178,"5000","5000","5000","1"
2179,"5000","5000","5000","1"
2180,"5000","5000","5000","1"
2181,"5000","5000","5000","1"
2182,"5000","5000","5000","1"
2183,"5000","5000","5000","1"
2184,"5000","5000","5000","1"
2185,"5000","5000","5000","1"
2186,"5000","5000","5000","1"
2187,"5000","5000","5000","1"
2188,"5000","5000","5000","1"
2189,"5000","5000","5000","1"
2190,"5000","5000","5000","1"
2191,"5000","5000","5000","1"
2192,"5000","5000","5000","1"
2193,"5000","5000","5000","1"
2194,"5000","5000","5000","1"
2195,"5000","5000","5000","1"
2196,"5000","5000","5000","1"
2197,"5000","5000","5000","1"
2198,"5000","5000","5000","1"
2199,"5000","5000","5000","1"
2200,"5000","5000","5000","1"
2201,"5000","5000","5000","1"
2202,"5000","5000","5000","1"
2203,"5000","5000","5000","1"
2204,"5000","5000","5000","1"
2205,"5000","5000","5000","1"
2206,"5000","5000","5000","1"
2207,"5000","5000","5000","1"
2208,"5000","5000","5000","1"
2209,"5000","5000","5000","1"
2210,"5000","5000","5000","1"
2211,"5000","5000","5000","1"
2212,"5000","5000","5000","1"
2213,"5000","5000","5000","1"
2214,"5000","5000","5000","1"
2215,"5000","5000","5000","1"
2216,"5000","5000","5000","1"
2217,"5000","5000","5000","1"
2218,"5000","5000","5000","1"
2219,"5000","5000","5000","1"
2220,"5000","5000","5000","1"
2221,"5000","5000","5000","1"
2222,"5000","5000","5000","1"
2223,"5000","5000","5000","1"
2224,"5000","5000","5000","1"
2225,"5000","5000","5000","1"
2226,"5000","5000","5000","1"
2227,"5000","5000","5000","1"
2228,"5000","5000","5000","1"
2229,"5000","5000","5000","1"
2230,"5000","5000","5000","1"
2231,"5000","5000","5000","1"
2232,"5000","5000","5000","1"
2233,"5000","5000","5000","1"
2234,"5000","5000","5000","1"
2235,"5000","5000","5000","1"
2236,"5000","5000","5000","1"
2237,"5000","5000","5000","1"
2238,"5000","5000","5000","1"
2239,"5000","5000","5000","1"
2240,"5000","5000","5000","1"
2241,"5000","5000","5000","1"
2242,"5000","5000","5000","1"
2243,"5000","5000","5000","1"
2244,"5000","5000","5000","1"
2245,"5000","5000","5000","1"
2246,"5000","5000","5000","1"
2247,"5000","5000","5000","1"
2248,"5000","5000","5000","1"
2249,"5000","5000","5000","1"
2250,"5000","5000","5000","1"
2251,"5000","5000","5000","1"
2252,"5000","5000","5000","1"
2253,"5000","5000","5000","1"
2254,"5000","5000","5000","1"
2255,"5000","5000","5000","1"
2256,"5000","5000","5000","1"
2257,"5000","5000","5000","1"
2258,"5000","5000","5000","1"
2259,"5000","5000","5000","1"
2260,"5000","5000","5000","1"
2261,"5000","5000","5000","1"
2262,"5000","5000","5000","1"
2263,"5000","5000","5000","1"
2264,"5000","5000","5000","1"
2265,"5000","5000","5000","1"
2266,"5000","5000","5000","1"
2267,"5000","5000","5000","1"
2268,"5000","5000","5000","1"
2269,"5000","5000","5000","1"
2270,"5000","5000","5000","1"
2271,"5000","5000","5000","1"
2272,"5000","5000","5000","1"
2273,"5000","5000","5000","1"
2274,"5000","5000","5000","1"
2275,"5000","5000","5000","1"
2276,"5000","5000","5000","1"
2277,"5000","5000","5000","1"
2278,"5000","5000","5000","1"
2279,"5000","5000","5000","1"
2280,"5000","5000","5000","1"
2281,"5000","5000","5000","1"
2282,"5000","5000","5000","1"
2283,"5000","5000","5000","1"
2284,"5000","5000","5000","1"
2285,"5000","5000","5000","1"
2286,"5000","5000","5000","1"
2287,"5000","5000","5000","1"
2288,"5000","5000","5000","1"
2289,"5000","5000","5000","1"
2290,"5000","5000","5000","1"
2291,"5000","5000","5000","1"
2292,"5000","5000","5000","1"
2293,"5000","5000","5000","1"
2294,"5000","5000","5000","1"
2295,"5000","5000","5000","1"
2296,"5000","5000","5000","1"
2297,"5000","5000","5000","1"
2298,"5000","5000","5000","1"
2299,"5000","5000","5000","1"
2300,"5000","5000","5000","1"
2301,"5000","5000","5000","1"
2302,"5000","5000","5000","1"
2303,"5000","5000","5000","1"
2304,"5000","5000","5000","1"
2305,"5000","5000","5000","1"
2306,"5000","5000","5000","1"
2307,"5000","5000","5000","1"
2308,"5000","5000","5000","1"
2309,"5000","5000","5000","1"
2310,"5000","5000","5000","1"
2311,"5000","5000","5000","1"
2312,"5000","5000","5000","1"
2313,"5000","5000","5000","1"
2314,"5000","5000","5000","1"
2315,"5000","5000","5000","1"
2316,"5000","5000","5000","1"
2317,"5000","5000","5000","1"
2318,"5000","5000","5000","1"
2319,"5000","5000","5000","1"
2320,"5000","5000","5000","1"
2321,"5000","5000","5000","1"
2322,"5000","5000","5000","1"
2323,"5000","5000","5000","1"
2324,"5000","5000","5000","1"
2325,"5000","5000","5000","1"
2326,"5000","5000","5000","1"
2327,"5000","5000","5000","1"
2328,"5000","5000","5000","1"
2329,"5000","5000","5000","1"
2330,"5000","5000","5000","1"
2331,"5000","5000","5000","1"
2332,"5000","5000","5000","1"
2333,"5000","5000","5000","1"
2334,"5000","5000","5000","1"
2335,"5000","5000","5000","1"
2336,"5000","5000","5000","1"
2337,"5000","5000","5000","1"
2338,"5000","5000","5000","1"
2339,"5000","5000","5000","1"
2340,"5000","5000","5000","1"
2341,"5000","5000","5000","1"
2342,"5000","5000","5000","1"
2343,"5000","5000","5000","1"
2344,"5000","5000","5000","1"
2345,"5000","5000","5000","1"
2346,"5000","5000","5000","1"
2347,"5000","5000","5000","1"
2348,"5000","5000","5000","1"
2349,"5000","5000","5000","1"
2350,"5000","5000","5000","1"
2351,"5000","5000","5000","1"
2352,"5000","5000","5000","1"
2353,"5000","5000","5000","1"
2354,"5000","5000","5000","1"
2355,"5000","5000","5000","1"
2356,"5000","5000","5000","1"
2357,"5000","5000","5000","1"
2358,"5000","5000","5000","1"
2359,"5000","5000","5000","1"
2360,"5000","5000","5000","1"
2361,"5000","5000","5000","1"
2362,"5000","5000","5000","1"
2363,"5000","5000","5000","1"
2364,"5000","5000","5000","1"
2365,"5000","5000","5000","1"
2366,"5000","5000","5000","1"
2367,"5000","5000","5000","1"
2368,"5000","5000","5000","1"
2369,"5000","5000","5000","1"
2370,"5000","5000","5000","1"
2371,"5000","5000","5000","1"
2372,"5000","5000","5000","1"
2373,"5000","5000","5000","1"
2374,"5000","5000","5000","1"
2375,"5000","5000","5000","1"
2376,"5000","5000","5000","1"
2377,"5000","5000","5000","1"
2378,"5000","5000","5000","1"
2379,"5000","5000","5000","1"
2380,"5000","5000","5000","1"
2381,"5000","5000","5000","1"
2382,"5000","5000","5000","1"
2383,"5000","5000","5000","1"
2384,"5000","5000","5000","1"
2385,"5000","5000","5000","1"
2386,"5000","5000","5000","1"
2387,"5000","5000","5000","1"
2388,"5000","5000","5000","1"
2389,"5000","5000","5000","1"
2390,"5000","5000","5000","1"
2391,"5000","5000","5000","1"
2392,"5000","5000","5000","1"
2393,"5000","5000","5000","1"
2394,"5000","5000","5000","1"
2395,"5000","5000","5000","1"
2396,"5000","5000","5000","1"
2397,"5000","5000","5000","1"
2398,"5000","5000","5000","1"
2399,"5000","5000","5000","1"
2400,"5000","5000","5000","1"
2401,"5000","5000","5000","1"
2402,"5000","5000","5000","1"
2403,"5000","5000","5000","1"
2404,"5000","5000","5000","1"
2405,"5000","5000","5000","1"
2406,"5000","5000","5000","1"
2407,"5000","5000","5000","1"
2408,"5000","5000","5000","1"
2409,"5000","5000","5000","1"
2410,"5000","5000","5000","1"
2411,"5000","5000","5000","1"
2412,"5000","5000","5000","1"
2413,"5000","5000","5000","1"
2414,"5000","5000","5000","1"
2415,"5000","5000","5000","1"
2416,"5000","5000","5000","1"
2417,"5000","5000","5000","1"
2418,"5000","5000","5000","1"
2419,"5000","5000","5000","1"
2420,"5000","5000","5000","1"
2421,"5000","5000","5000","1"
2422,"5000","5000","5000","1"
2423,"5000","5000","5000","1"
2424,"5000","5000","5000","1"
2425,"5000","5000","5000","1"
2426,"5000","5000","5000","1"
2427,"5000","5000","5000","1"
2428,"5000","5000","5000","1"
2429,"5000","5000","5000","1"
2430,"5000","5000","5000","1"
2431,"5000","5000","5000","1"
2432,"5000","5000","5000","1"
2433,"5000","5000","5000","1"
2434,"5000","5000","5000","1"
2435,"5000","5000","5000","1"
2436,"5000","5000","5000","1"
2437,"5000","5000","5000","1"
2438,"5000","5000","5000","1"
2439,"5000","5000","5000","1"
2440,"5000","5000","5000","1"
2441,"5000","5000","5000","1"
2443,"5000","5000","5000","1"
2444,"5000","5000","5000","1"
2445,"5000","5000","5000","1"
2446,"5000","5000","5000","1"
2447,"5000","5000","5000","1"
2448,"5000","5000","5000","1"
2449,"5000","5000","5000","1"
2450,"5000","5000","5000","1"
2451,"5000","5000","5000","1"
2452,"5000","5000","5000","1"
2453,"5000","5000","5000","1"
2454,"5000","5000","5000","1"
2455,"5000","5000","5000","1"
2456,"5000","5000","5000","1"
2457,"5000","5000","5000","1"
2458,"5000","5000","5000","1"
2459,"5000","5000","5000","1"
2460,"5000","5000","5000","1"
2461,"5000","5000","5000","1"
2462,"5000","5000","5000","1"
2463,"5000","5000","5000","1"
2464,"5000","5000","5000","1"
2465,"5000","5000","5000","1"
2466,"5000","5000","5000","1"
2467,"5000","5000","5000","1"
2468,"5000","5000","5000","1"
2469,"5000","5000","5000","1"
2470,"5000","5000","5000","1"
2471,"5000","5000","5000","1"
2472,"5000","5000","5000","1"
2473,"5000","5000","5000","1"
2474,"5000","5000","5000","1"
2475,"5000","5000","5000","1"
2476,"5000","5000","5000","1"
2477,"5000","5000","5000","1"
2478,"5000","5000","5000","1"
2479,"5000","5000","5000","1"
2480,"5000","5000","5000","1"
2481,"5000","5000","5000","1"
2482,"5000","5000","5000","1"
2483,"5000","5000","5000","1"
2484,"5000","5000","5000","1"
2485,"5000","5000","5000","1"
2486,"5000","5000","5000","1"
2487,"5000","5000","5000","1"
2488,"5000","5000","5000","1"
2489,"5000","5000","5000","1"
2490,"5000","5000","5000","1"
2491,"5000","5000","5000","1"
2492,"5000","5000","5000","1"
2493,"5000","5000","5000","1"
2494,"5000","5000","5000","1"
2495,"5000","5000","5000","1"
2496,"5000","5000","5000","1"
2497,"5000","5000","5000","1"
2498,"5000","5000","5000","1"
2499,"5000","5000","5000","1"
2500,"5000","5000","5000","1"
2501,"5000","5000","5000","1"
2502,"5000","5000","5000","1"
2503,"5000","5000","5000","1"
2504,"5000","5000","5000","1"
2505,"5000","5000","5000","1"
2506,"5000","5000","5000","1"
2507,"5000","5000","5000","1"
2508,"5000","5000","5000","1"
2509,"5000","5000","5000","1"
2510,"5000","5000","5000","1"
2511,"5000","5000","5000","1"
2512,"5000","5000","5000","1"
2513,"5000","5000","5000","1"
2514,"5000","5000","5000","1"
2515,"5000","5000","5000","1"
2516,"5000","5000","5000","1"
2517,"5000","5000","5000","1"
2518,"5000","5000","5000","1"
2519,"5000","5000","5000","1"
2520,"5000","5000","5000","1"
2521,"5000","5000","5000","1"
2522,"5000","5000","5000","1"
2523,"5000","5000","5000","1"
2524,"5000","5000","5000","1"
2525,"5000","5000","5000","1"
2526,"5000","5000","5000","1"
2527,"5000","5000","5000","1"
2528,"5000","5000","5000","1"
2529,"5000","5000","5000","1"
2530,"5000","5000","5000","1"
2531,"5000","5000","5000","1"
2532,"5000","5000","5000","1"
2533,"5000","5000","5000","1"
2534,"5000","5000","5000","1"
2535,"5000","5000","5000","1"
2536,"5000","5000","5000","1"
2537,"5000","5000","5000","1"
