System,Experiment,Shot ID,Sustainment Setpoint (kV),Graph (20913)
Pi 3,"pi3b (Pi3 spherical build)","8773","","1"
Pi 3,"pi3b (Pi3 spherical build)","8774","","1"
Pi 3,"pi3b (Pi3 spherical build)","8775","","1"
Pi 3,"pi3b (Pi3 spherical build)","8776","","1"
Pi 3,"pi3b (Pi3 spherical build)","8777","","1"
Pi 3,"pi3b (Pi3 spherical build)","8778","","1"
Pi 3,"pi3b (Pi3 spherical build)","8779","","1"
Pi 3,"pi3b (Pi3 spherical build)","8780","","1"
Pi 3,"pi3b (Pi3 spherical build)","8781","","1"
Pi 3,"pi3b (Pi3 spherical build)","8782","","1"
Pi 3,"pi3b (Pi3 spherical build)","8783","","1"
Pi 3,"pi3b (Pi3 spherical build)","8784","","1"
Pi 3,"pi3b (Pi3 spherical build)","8785","","1"
Pi 3,"pi3b (Pi3 spherical build)","8786","","1"
Pi 3,"pi3b (Pi3 spherical build)","8787","","1"
Pi 3,"pi3b (Pi3 spherical build)","8788","","1"
Pi 3,"pi3b (Pi3 spherical build)","8789","","1"
Pi 3,"pi3b (Pi3 spherical build)","8790","6.0","1"
Pi 3,"pi3b (Pi3 spherical build)","8791","","1"
Pi 3,"pi3b (Pi3 spherical build)","8792","8.0","1"
Pi 3,"pi3b (Pi3 spherical build)","8793","","1"
Pi 3,"pi3b (Pi3 spherical build)","8794","","1"
Pi 3,"pi3b (Pi3 spherical build)","8795","","1"
Pi 3,"pi3b (Pi3 spherical build)","8796","","1"
Pi 3,"pi3b (Pi3 spherical build)","8797","","1"
Pi 3,"pi3b (Pi3 spherical build)","8798","","1"
Pi 3,"pi3b (Pi3 spherical build)","8799","","1"
Pi 3,"pi3b (Pi3 spherical build)","8800","6.0","1"
Pi 3,"pi3b (Pi3 spherical build)","8801","","1"
Pi 3,"pi3b (Pi3 spherical build)","8802","","1"
Pi 3,"pi3b (Pi3 spherical build)","8803","6.0","1"
Pi 3,"pi3b (Pi3 spherical build)","8804","","1"
Pi 3,"pi3b (Pi3 spherical build)","8805","","1"
Pi 3,"pi3b (Pi3 spherical build)","8806","8.0","1"
Pi 3,"pi3b (Pi3 spherical build)","8807","8.0","1"
Pi 3,"pi3b (Pi3 spherical build)","8808","","1"
Pi 3,"pi3b (Pi3 spherical build)","8809","","1"
Pi 3,"pi3b (Pi3 spherical build)","8810","","1"
Pi 3,"pi3b (Pi3 spherical build)","8811","","1"
Pi 3,"pi3b (Pi3 spherical build)","8812","","1"
Pi 3,"pi3b (Pi3 spherical build)","8813","","1"
Pi 3,"pi3b (Pi3 spherical build)","8814","","1"
Pi 3,"pi3b (Pi3 spherical build)","8815","","1"
Pi 3,"pi3b (Pi3 spherical build)","8816","","1"
Pi 3,"pi3b (Pi3 spherical build)","8817","","1"
Pi 3,"pi3b (Pi3 spherical build)","8818","","1"
Pi 3,"pi3b (Pi3 spherical build)","8819","","1"
Pi 3,"pi3b (Pi3 spherical build)","8820","","1"
Pi 3,"pi3b (Pi3 spherical build)","8821","","1"
Pi 3,"pi3b (Pi3 spherical build)","8822","","1"
Pi 3,"pi3b (Pi3 spherical build)","8823","","1"
Pi 3,"pi3b (Pi3 spherical build)","8824","","1"
Pi 3,"pi3b (Pi3 spherical build)","8825","","1"
Pi 3,"pi3b (Pi3 spherical build)","8826","","1"
Pi 3,"pi3b (Pi3 spherical build)","8827","","1"
Pi 3,"pi3b (Pi3 spherical build)","8828","","1"
Pi 3,"pi3b (Pi3 spherical build)","8829","","1"
Pi 3,"pi3b (Pi3 spherical build)","8830","","1"
Pi 3,"pi3b (Pi3 spherical build)","8831","","1"
Pi 3,"pi3b (Pi3 spherical build)","8832","","1"
Pi 3,"pi3b (Pi3 spherical build)","8833","","1"
Pi 3,"pi3b (Pi3 spherical build)","8834","","1"
Pi 3,"pi3b (Pi3 spherical build)","8835","","1"
Pi 3,"pi3b (Pi3 spherical build)","8836","","1"
Pi 3,"pi3b (Pi3 spherical build)","8837","","1"
Pi 3,"pi3b (Pi3 spherical build)","8838","","1"
Pi 3,"pi3b (Pi3 spherical build)","8839","","1"
Pi 3,"pi3b (Pi3 spherical build)","8840","","1"
Pi 3,"pi3b (Pi3 spherical build)","8841","","1"
Pi 3,"pi3b (Pi3 spherical build)","8842","","1"
Pi 3,"pi3b (Pi3 spherical build)","8843","","1"
Pi 3,"pi3b (Pi3 spherical build)","8844","","1"
Pi 3,"pi3b (Pi3 spherical build)","8845","","1"
Pi 3,"pi3b (Pi3 spherical build)","8846","","1"
Pi 3,"pi3b (Pi3 spherical build)","8847","","1"
Pi 3,"pi3b (Pi3 spherical build)","8848","","1"
Pi 3,"pi3b (Pi3 spherical build)","8849","","1"
Pi 3,"pi3b (Pi3 spherical build)","8850","","1"
Pi 3,"pi3b (Pi3 spherical build)","8851","","1"
Pi 3,"pi3b (Pi3 spherical build)","8852","","1"
Pi 3,"pi3b (Pi3 spherical build)","8853","","1"
Pi 3,"pi3b (Pi3 spherical build)","8854","","1"
Pi 3,"pi3b (Pi3 spherical build)","8855","","1"
Pi 3,"pi3b (Pi3 spherical build)","8856","","1"
Pi 3,"pi3b (Pi3 spherical build)","8857","","1"
Pi 3,"pi3b (Pi3 spherical build)","8858","","1"
Pi 3,"pi3b (Pi3 spherical build)","8859","","1"
Pi 3,"pi3b (Pi3 spherical build)","8860","","1"
Pi 3,"pi3b (Pi3 spherical build)","8861","","1"
Pi 3,"pi3b (Pi3 spherical build)","8862","","1"
Pi 3,"pi3b (Pi3 spherical build)","8863","","1"
Pi 3,"pi3b (Pi3 spherical build)","8864","","1"
Pi 3,"pi3b (Pi3 spherical build)","8865","","1"
Pi 3,"pi3b (Pi3 spherical build)","8866","","1"
Pi 3,"pi3b (Pi3 spherical build)","8867","","1"
Pi 3,"pi3b (Pi3 spherical build)","8868","","1"
Pi 3,"pi3b (Pi3 spherical build)","8869","","1"
Pi 3,"pi3b (Pi3 spherical build)","8870","","1"
Pi 3,"pi3b (Pi3 spherical build)","8871","","1"
Pi 3,"pi3b (Pi3 spherical build)","8872","","1"
Pi 3,"pi3b (Pi3 spherical build)","8873","","1"
Pi 3,"pi3b (Pi3 spherical build)","8874","","1"
Pi 3,"pi3b (Pi3 spherical build)","8875","","1"
Pi 3,"pi3b (Pi3 spherical build)","8876","","1"
Pi 3,"pi3b (Pi3 spherical build)","8877","","1"
Pi 3,"pi3b (Pi3 spherical build)","8878","","1"
Pi 3,"pi3b (Pi3 spherical build)","8879","","1"
Pi 3,"pi3b (Pi3 spherical build)","8880","","1"
Pi 3,"pi3b (Pi3 spherical build)","8881","","1"
Pi 3,"pi3b (Pi3 spherical build)","8882","","1"
Pi 3,"pi3b (Pi3 spherical build)","8883","","1"
Pi 3,"pi3b (Pi3 spherical build)","8884","","1"
Pi 3,"pi3b (Pi3 spherical build)","8885","","1"
Pi 3,"pi3b (Pi3 spherical build)","8886","","1"
Pi 3,"pi3b (Pi3 spherical build)","8887","","1"
Pi 3,"pi3b (Pi3 spherical build)","8888","","1"
Pi 3,"pi3b (Pi3 spherical build)","8889","","1"
Pi 3,"pi3b (Pi3 spherical build)","8890","","1"
Pi 3,"pi3b (Pi3 spherical build)","8891","","1"
Pi 3,"pi3b (Pi3 spherical build)","8892","","1"
Pi 3,"pi3b (Pi3 spherical build)","8893","","1"
Pi 3,"pi3b (Pi3 spherical build)","8894","","1"
Pi 3,"pi3b (Pi3 spherical build)","8895","","1"
Pi 3,"pi3b (Pi3 spherical build)","8896","","1"
Pi 3,"pi3b (Pi3 spherical build)","8897","","1"
Pi 3,"pi3b (Pi3 spherical build)","8898","","1"
Pi 3,"pi3b (Pi3 spherical build)","8899","","1"
Pi 3,"pi3b (Pi3 spherical build)","8900","","1"
Pi 3,"pi3b (Pi3 spherical build)","8901","","1"
Pi 3,"pi3b (Pi3 spherical build)","8902","","1"
Pi 3,"pi3b (Pi3 spherical build)","8903","","1"
Pi 3,"pi3b (Pi3 spherical build)","8904","","1"
Pi 3,"pi3b (Pi3 spherical build)","8905","","1"
Pi 3,"pi3b (Pi3 spherical build)","8906","","1"
Pi 3,"pi3b (Pi3 spherical build)","8907","","1"
Pi 3,"pi3b (Pi3 spherical build)","8908","","1"
Pi 3,"pi3b (Pi3 spherical build)","8909","","1"
Pi 3,"pi3b (Pi3 spherical build)","8910","","1"
Pi 3,"pi3b (Pi3 spherical build)","8911","","1"
Pi 3,"pi3b (Pi3 spherical build)","8912","","1"
Pi 3,"pi3b (Pi3 spherical build)","8913","","1"
Pi 3,"pi3b (Pi3 spherical build)","8914","","1"
Pi 3,"pi3b (Pi3 spherical build)","8915","","1"
Pi 3,"pi3b (Pi3 spherical build)","8916","","1"
Pi 3,"pi3b (Pi3 spherical build)","8917","","1"
Pi 3,"pi3b (Pi3 spherical build)","8918","","1"
Pi 3,"pi3b (Pi3 spherical build)","8919","","1"
Pi 3,"pi3b (Pi3 spherical build)","8920","","1"
Pi 3,"pi3b (Pi3 spherical build)","8921","","1"
Pi 3,"pi3b (Pi3 spherical build)","8922","","1"
Pi 3,"pi3b (Pi3 spherical build)","8923","","1"
Pi 3,"pi3b (Pi3 spherical build)","8924","","1"
Pi 3,"pi3b (Pi3 spherical build)","8925","","1"
Pi 3,"pi3b (Pi3 spherical build)","8926","","1"
Pi 3,"pi3b (Pi3 spherical build)","8927","","1"
Pi 3,"pi3b (Pi3 spherical build)","8928","","1"
Pi 3,"pi3b (Pi3 spherical build)","8929","","1"
Pi 3,"pi3b (Pi3 spherical build)","8930","","1"
Pi 3,"pi3b (Pi3 spherical build)","8931","","1"
Pi 3,"pi3b (Pi3 spherical build)","8932","","1"
Pi 3,"pi3b (Pi3 spherical build)","8933","","1"
Pi 3,"pi3b (Pi3 spherical build)","8934","","1"
Pi 3,"pi3b (Pi3 spherical build)","8935","","1"
Pi 3,"pi3b (Pi3 spherical build)","8936","","1"
Pi 3,"pi3b (Pi3 spherical build)","8937","","1"
Pi 3,"pi3b (Pi3 spherical build)","8938","","1"
Pi 3,"pi3b (Pi3 spherical build)","8939","","1"
Pi 3,"pi3b (Pi3 spherical build)","8940","","1"
Pi 3,"pi3b (Pi3 spherical build)","8941","","1"
Pi 3,"pi3b (Pi3 spherical build)","8942","","1"
Pi 3,"pi3b (Pi3 spherical build)","8943","","1"
Pi 3,"pi3b (Pi3 spherical build)","8944","","1"
Pi 3,"pi3b (Pi3 spherical build)","8945","","1"
Pi 3,"pi3b (Pi3 spherical build)","8946","","1"
Pi 3,"pi3b (Pi3 spherical build)","8947","","1"
Pi 3,"pi3b (Pi3 spherical build)","8948","","1"
Pi 3,"pi3b (Pi3 spherical build)","8949","","1"
Pi 3,"pi3b (Pi3 spherical build)","8950","","1"
Pi 3,"pi3b (Pi3 spherical build)","8951","","1"
Pi 3,"pi3b (Pi3 spherical build)","8952","","1"
Pi 3,"pi3b (Pi3 spherical build)","8953","","1"
Pi 3,"pi3b (Pi3 spherical build)","8954","","1"
Pi 3,"pi3b (Pi3 spherical build)","8955","","1"
Pi 3,"pi3b (Pi3 spherical build)","8956","","1"
Pi 3,"pi3b (Pi3 spherical build)","8957","","1"
Pi 3,"pi3b (Pi3 spherical build)","8958","","1"
Pi 3,"pi3b (Pi3 spherical build)","8959","","1"
Pi 3,"pi3b (Pi3 spherical build)","8960","","1"
Pi 3,"pi3b (Pi3 spherical build)","8961","","1"
Pi 3,"pi3b (Pi3 spherical build)","8962","","1"
Pi 3,"pi3b (Pi3 spherical build)","8963","","1"
Pi 3,"pi3b (Pi3 spherical build)","8964","","1"
Pi 3,"pi3b (Pi3 spherical build)","8965","","1"
Pi 3,"pi3b (Pi3 spherical build)","8966","","1"
Pi 3,"pi3b (Pi3 spherical build)","8967","","1"
Pi 3,"pi3b (Pi3 spherical build)","8968","","1"
Pi 3,"pi3b (Pi3 spherical build)","8969","","1"
Pi 3,"pi3b (Pi3 spherical build)","8970","","1"
Pi 3,"pi3b (Pi3 spherical build)","8971","","1"
Pi 3,"pi3b (Pi3 spherical build)","8972","","1"
Pi 3,"pi3b (Pi3 spherical build)","8973","","1"
Pi 3,"pi3b (Pi3 spherical build)","8974","","1"
Pi 3,"pi3b (Pi3 spherical build)","8975","","1"
Pi 3,"pi3b (Pi3 spherical build)","8976","","1"
Pi 3,"pi3b (Pi3 spherical build)","8977","","1"
Pi 3,"pi3b (Pi3 spherical build)","8978","","1"
Pi 3,"pi3b (Pi3 spherical build)","8979","","1"
Pi 3,"pi3b (Pi3 spherical build)","8980","","1"
Pi 3,"pi3b (Pi3 spherical build)","8981","","1"
Pi 3,"pi3b (Pi3 spherical build)","8982","","1"
Pi 3,"pi3b (Pi3 spherical build)","8983","","1"
Pi 3,"pi3b (Pi3 spherical build)","8984","","1"
Pi 3,"pi3b (Pi3 spherical build)","8985","","1"
Pi 3,"pi3b (Pi3 spherical build)","8986","","1"
Pi 3,"pi3b (Pi3 spherical build)","8987","","1"
Pi 3,"pi3b (Pi3 spherical build)","8988","","1"
Pi 3,"pi3b (Pi3 spherical build)","8989","","1"
Pi 3,"pi3b (Pi3 spherical build)","8990","","1"
Pi 3,"pi3b (Pi3 spherical build)","8991","","1"
Pi 3,"pi3b (Pi3 spherical build)","8992","","1"
Pi 3,"pi3b (Pi3 spherical build)","8993","","1"
Pi 3,"pi3b (Pi3 spherical build)","8994","","1"
Pi 3,"pi3b (Pi3 spherical build)","8995","","1"
Pi 3,"pi3b (Pi3 spherical build)","8996","","1"
Pi 3,"pi3b (Pi3 spherical build)","8997","","1"
Pi 3,"pi3b (Pi3 spherical build)","8998","","1"
Pi 3,"pi3b (Pi3 spherical build)","8999","","1"
Pi 3,"pi3b (Pi3 spherical build)","9000","","1"
Pi 3,"pi3b (Pi3 spherical build)","9001","","1"
Pi 3,"pi3b (Pi3 spherical build)","9002","","1"
Pi 3,"pi3b (Pi3 spherical build)","9003","","1"
Pi 3,"pi3b (Pi3 spherical build)","9004","","1"
Pi 3,"pi3b (Pi3 spherical build)","9005","","1"
Pi 3,"pi3b (Pi3 spherical build)","9006","","1"
Pi 3,"pi3b (Pi3 spherical build)","9007","","1"
Pi 3,"pi3b (Pi3 spherical build)","9008","","1"
Pi 3,"pi3b (Pi3 spherical build)","9009","","1"
Pi 3,"pi3b (Pi3 spherical build)","9010","","1"
Pi 3,"pi3b (Pi3 spherical build)","9011","","1"
Pi 3,"pi3b (Pi3 spherical build)","9012","","1"
Pi 3,"pi3b (Pi3 spherical build)","9013","","1"
Pi 3,"pi3b (Pi3 spherical build)","9014","","1"
Pi 3,"pi3b (Pi3 spherical build)","9015","","1"
Pi 3,"pi3b (Pi3 spherical build)","9016","","1"
Pi 3,"pi3b (Pi3 spherical build)","9017","","1"
Pi 3,"pi3b (Pi3 spherical build)","9018","","1"
Pi 3,"pi3b (Pi3 spherical build)","9019","","1"
Pi 3,"pi3b (Pi3 spherical build)","9020","","1"
Pi 3,"pi3b (Pi3 spherical build)","9021","","1"
Pi 3,"pi3b (Pi3 spherical build)","9022","","1"
Pi 3,"pi3b (Pi3 spherical build)","9023","","1"
Pi 3,"pi3b (Pi3 spherical build)","9024","","1"
Pi 3,"pi3b (Pi3 spherical build)","9025","","1"
Pi 3,"pi3b (Pi3 spherical build)","9026","","1"
Pi 3,"pi3b (Pi3 spherical build)","9027","","1"
Pi 3,"pi3b (Pi3 spherical build)","9028","","1"
Pi 3,"pi3b (Pi3 spherical build)","9029","","1"
Pi 3,"pi3b (Pi3 spherical build)","9030","","1"
Pi 3,"pi3b (Pi3 spherical build)","9031","","1"
Pi 3,"pi3b (Pi3 spherical build)","9032","","1"
Pi 3,"pi3b (Pi3 spherical build)","9033","","1"
Pi 3,"pi3b (Pi3 spherical build)","9034","","1"
Pi 3,"pi3b (Pi3 spherical build)","9035","","1"
Pi 3,"pi3b (Pi3 spherical build)","9036","","1"
Pi 3,"pi3b (Pi3 spherical build)","9037","","1"
Pi 3,"pi3b (Pi3 spherical build)","9038","","1"
Pi 3,"pi3b (Pi3 spherical build)","9039","","1"
Pi 3,"pi3b (Pi3 spherical build)","9040","","1"
Pi 3,"pi3b (Pi3 spherical build)","9041","","1"
Pi 3,"pi3b (Pi3 spherical build)","9042","","1"
Pi 3,"pi3b (Pi3 spherical build)","9043","","1"
Pi 3,"pi3b (Pi3 spherical build)","9044","","1"
Pi 3,"pi3b (Pi3 spherical build)","9045","","1"
Pi 3,"pi3b (Pi3 spherical build)","9046","","1"
Pi 3,"pi3b (Pi3 spherical build)","9047","","1"
Pi 3,"pi3b (Pi3 spherical build)","9048","","1"
Pi 3,"pi3b (Pi3 spherical build)","9049","","1"
Pi 3,"pi3b (Pi3 spherical build)","9050","","1"
Pi 3,"pi3b (Pi3 spherical build)","9051","","1"
Pi 3,"pi3b (Pi3 spherical build)","9052","","1"
Pi 3,"pi3b (Pi3 spherical build)","9053","","1"
Pi 3,"pi3b (Pi3 spherical build)","9054","","1"
Pi 3,"pi3b (Pi3 spherical build)","9055","","1"
Pi 3,"pi3b (Pi3 spherical build)","9056","","1"
Pi 3,"pi3b (Pi3 spherical build)","9057","","1"
Pi 3,"pi3b (Pi3 spherical build)","9058","","1"
Pi 3,"pi3b (Pi3 spherical build)","9059","","1"
Pi 3,"pi3b (Pi3 spherical build)","9060","","1"
Pi 3,"pi3b (Pi3 spherical build)","9061","","1"
Pi 3,"pi3b (Pi3 spherical build)","9062","","1"
Pi 3,"pi3b (Pi3 spherical build)","9063","","1"
Pi 3,"pi3b (Pi3 spherical build)","9064","","1"
Pi 3,"pi3b (Pi3 spherical build)","9065","","1"
Pi 3,"pi3b (Pi3 spherical build)","9066","","1"
Pi 3,"pi3b (Pi3 spherical build)","9067","","1"
Pi 3,"pi3b (Pi3 spherical build)","9068","","1"
Pi 3,"pi3b (Pi3 spherical build)","9069","","1"
Pi 3,"pi3b (Pi3 spherical build)","9070","","1"
Pi 3,"pi3b (Pi3 spherical build)","9071","","1"
Pi 3,"pi3b (Pi3 spherical build)","9072","","1"
Pi 3,"pi3b (Pi3 spherical build)","9073","","1"
Pi 3,"pi3b (Pi3 spherical build)","9074","","1"
Pi 3,"pi3b (Pi3 spherical build)","9075","","1"
Pi 3,"pi3b (Pi3 spherical build)","9076","","1"
Pi 3,"pi3b (Pi3 spherical build)","9077","","1"
Pi 3,"pi3b (Pi3 spherical build)","9078","","1"
Pi 3,"pi3b (Pi3 spherical build)","9079","","1"
Pi 3,"pi3b (Pi3 spherical build)","9080","","1"
Pi 3,"pi3b (Pi3 spherical build)","9081","","1"
Pi 3,"pi3b (Pi3 spherical build)","9082","","1"
Pi 3,"pi3b (Pi3 spherical build)","9083","","1"
Pi 3,"pi3b (Pi3 spherical build)","9084","","1"
Pi 3,"pi3b (Pi3 spherical build)","9085","","1"
Pi 3,"pi3b (Pi3 spherical build)","9086","","1"
Pi 3,"pi3b (Pi3 spherical build)","9087","","1"
Pi 3,"pi3b (Pi3 spherical build)","9088","","1"
Pi 3,"pi3b (Pi3 spherical build)","9089","","1"
Pi 3,"pi3b (Pi3 spherical build)","9090","","1"
Pi 3,"pi3b (Pi3 spherical build)","9091","","1"
Pi 3,"pi3b (Pi3 spherical build)","9092","","1"
Pi 3,"pi3b (Pi3 spherical build)","9093","","1"
Pi 3,"pi3b (Pi3 spherical build)","9094","","1"
Pi 3,"pi3b (Pi3 spherical build)","9095","","1"
Pi 3,"pi3b (Pi3 spherical build)","9096","","1"
Pi 3,"pi3b (Pi3 spherical build)","9097","","1"
Pi 3,"pi3b (Pi3 spherical build)","9098","","1"
Pi 3,"pi3b (Pi3 spherical build)","9099","","1"
Pi 3,"pi3b (Pi3 spherical build)","9100","","1"
Pi 3,"pi3b (Pi3 spherical build)","9101","","1"
Pi 3,"pi3b (Pi3 spherical build)","9102","","1"
Pi 3,"pi3b (Pi3 spherical build)","9103","","1"
Pi 3,"pi3b (Pi3 spherical build)","9104","","1"
Pi 3,"pi3b (Pi3 spherical build)","9105","","1"
Pi 3,"pi3b (Pi3 spherical build)","9106","","1"
Pi 3,"pi3b (Pi3 spherical build)","9107","","1"
Pi 3,"pi3b (Pi3 spherical build)","9108","5.0","1"
Pi 3,"pi3b (Pi3 spherical build)","9109","5.0","1"
Pi 3,"pi3b (Pi3 spherical build)","9110","5.0","1"
Pi 3,"pi3b (Pi3 spherical build)","9111","5.0","1"
Pi 3,"pi3b (Pi3 spherical build)","9112","5.0","1"
Pi 3,"pi3b (Pi3 spherical build)","9113","5.0","1"
Pi 3,"pi3b (Pi3 spherical build)","9114","7.0","1"
Pi 3,"pi3b (Pi3 spherical build)","9115","","1"
Pi 3,"pi3b (Pi3 spherical build)","9116","","1"
Pi 3,"pi3b (Pi3 spherical build)","9117","","1"
Pi 3,"pi3b (Pi3 spherical build)","9118","","1"
Pi 3,"pi3b (Pi3 spherical build)","9119","","1"
Pi 3,"pi3b (Pi3 spherical build)","9120","","1"
Pi 3,"pi3b (Pi3 spherical build)","9121","","1"
Pi 3,"pi3b (Pi3 spherical build)","9122","7.0","1"
Pi 3,"pi3b (Pi3 spherical build)","9123","7.0","1"
Pi 3,"pi3b (Pi3 spherical build)","9124","","1"
Pi 3,"pi3b (Pi3 spherical build)","9125","","1"
Pi 3,"pi3b (Pi3 spherical build)","9126","7.0","1"
Pi 3,"pi3b (Pi3 spherical build)","9127","7.0","1"
Pi 3,"pi3b (Pi3 spherical build)","9128","","1"
Pi 3,"pi3b (Pi3 spherical build)","9129","","1"
Pi 3,"pi3b (Pi3 spherical build)","9130","","1"
Pi 3,"pi3b (Pi3 spherical build)","9131","","1"
Pi 3,"pi3b (Pi3 spherical build)","9132","","1"
Pi 3,"pi3b (Pi3 spherical build)","9133","","1"
Pi 3,"pi3b (Pi3 spherical build)","9134","","1"
Pi 3,"pi3b (Pi3 spherical build)","9135","","1"
Pi 3,"pi3b (Pi3 spherical build)","9136","","1"
Pi 3,"pi3b (Pi3 spherical build)","9137","","1"
Pi 3,"pi3b (Pi3 spherical build)","9138","","1"
Pi 3,"pi3b (Pi3 spherical build)","9139","","1"
Pi 3,"pi3b (Pi3 spherical build)","9140","","1"
Pi 3,"pi3b (Pi3 spherical build)","9141","","1"
Pi 3,"pi3b (Pi3 spherical build)","9142","","1"
Pi 3,"pi3b (Pi3 spherical build)","9143","","1"
Pi 3,"pi3b (Pi3 spherical build)","9144","","1"
Pi 3,"pi3b (Pi3 spherical build)","9145","","1"
Pi 3,"pi3b (Pi3 spherical build)","9146","","1"
Pi 3,"pi3b (Pi3 spherical build)","9147","","1"
Pi 3,"pi3b (Pi3 spherical build)","9148","","1"
Pi 3,"pi3b (Pi3 spherical build)","9149","","1"
Pi 3,"pi3b (Pi3 spherical build)","9150","","1"
Pi 3,"pi3b (Pi3 spherical build)","9151","","1"
Pi 3,"pi3b (Pi3 spherical build)","9152","","1"
Pi 3,"pi3b (Pi3 spherical build)","9153","","1"
Pi 3,"pi3b (Pi3 spherical build)","9154","","1"
Pi 3,"pi3b (Pi3 spherical build)","9155","","1"
Pi 3,"pi3b (Pi3 spherical build)","9156","","1"
Pi 3,"pi3b (Pi3 spherical build)","9157","","1"
Pi 3,"pi3b (Pi3 spherical build)","9158","","1"
Pi 3,"pi3b (Pi3 spherical build)","9159","","1"
Pi 3,"pi3b (Pi3 spherical build)","9160","","1"
Pi 3,"pi3b (Pi3 spherical build)","9161","","1"
Pi 3,"pi3b (Pi3 spherical build)","9162","","1"
Pi 3,"pi3b (Pi3 spherical build)","9163","","1"
Pi 3,"pi3b (Pi3 spherical build)","9164","","1"
Pi 3,"pi3b (Pi3 spherical build)","9165","","1"
Pi 3,"pi3b (Pi3 spherical build)","9166","","1"
Pi 3,"pi3b (Pi3 spherical build)","9167","","1"
Pi 3,"pi3b (Pi3 spherical build)","9168","7.0","1"
Pi 3,"pi3b (Pi3 spherical build)","9169","","1"
Pi 3,"pi3b (Pi3 spherical build)","9170","7.0","1"
Pi 3,"pi3b (Pi3 spherical build)","9171","","1"
Pi 3,"pi3b (Pi3 spherical build)","9172","6.0","1"
Pi 3,"pi3b (Pi3 spherical build)","9173","","1"
Pi 3,"pi3b (Pi3 spherical build)","9174","6.0","1"
Pi 3,"pi3b (Pi3 spherical build)","9175","","1"
Pi 3,"pi3b (Pi3 spherical build)","9176","","1"
Pi 3,"pi3b (Pi3 spherical build)","9177","6.0","1"
Pi 3,"pi3b (Pi3 spherical build)","9178","6.0","1"
Pi 3,"pi3b (Pi3 spherical build)","9179","6.0","1"
Pi 3,"pi3b (Pi3 spherical build)","9180","","1"
Pi 3,"pi3b (Pi3 spherical build)","9181","6.0","1"
Pi 3,"pi3b (Pi3 spherical build)","9182","","1"
Pi 3,"pi3b (Pi3 spherical build)","9183","6.0","1"
Pi 3,"pi3b (Pi3 spherical build)","9184","6.0","1"
Pi 3,"pi3b (Pi3 spherical build)","9185","6.0","1"
Pi 3,"pi3b (Pi3 spherical build)","9186","","1"
Pi 3,"pi3b (Pi3 spherical build)","9187","","1"
Pi 3,"pi3b (Pi3 spherical build)","9188","","1"
Pi 3,"pi3b (Pi3 spherical build)","9189","","1"
Pi 3,"pi3b (Pi3 spherical build)","9190","","1"
Pi 3,"pi3b (Pi3 spherical build)","9191","","1"
Pi 3,"pi3b (Pi3 spherical build)","9192","","1"
Pi 3,"pi3b (Pi3 spherical build)","9193","","1"
Pi 3,"pi3b (Pi3 spherical build)","9194","","1"
Pi 3,"pi3b (Pi3 spherical build)","9195","","1"
Pi 3,"pi3b (Pi3 spherical build)","9196","","1"
Pi 3,"pi3b (Pi3 spherical build)","9197","","1"
Pi 3,"pi3b (Pi3 spherical build)","9198","","1"
Pi 3,"pi3b (Pi3 spherical build)","9199","","1"
Pi 3,"pi3b (Pi3 spherical build)","9200","","1"
Pi 3,"pi3b (Pi3 spherical build)","9201","","1"
Pi 3,"pi3b (Pi3 spherical build)","9202","","1"
Pi 3,"pi3b (Pi3 spherical build)","9203","","1"
Pi 3,"pi3b (Pi3 spherical build)","9204","","1"
Pi 3,"pi3b (Pi3 spherical build)","9205","","1"
Pi 3,"pi3b (Pi3 spherical build)","9206","","1"
Pi 3,"pi3b (Pi3 spherical build)","9207","","1"
Pi 3,"pi3b (Pi3 spherical build)","9208","","1"
Pi 3,"pi3b (Pi3 spherical build)","9209","","1"
Pi 3,"pi3b (Pi3 spherical build)","9210","","1"
Pi 3,"pi3b (Pi3 spherical build)","9211","","1"
Pi 3,"pi3b (Pi3 spherical build)","9212","","1"
Pi 3,"pi3b (Pi3 spherical build)","9213","","1"
Pi 3,"pi3b (Pi3 spherical build)","9214","","1"
Pi 3,"pi3b (Pi3 spherical build)","9215","","1"
Pi 3,"pi3b (Pi3 spherical build)","9216","","1"
Pi 3,"pi3b (Pi3 spherical build)","9217","","1"
Pi 3,"pi3b (Pi3 spherical build)","9218","","1"
Pi 3,"pi3b (Pi3 spherical build)","9219","","1"
Pi 3,"pi3b (Pi3 spherical build)","9220","","1"
Pi 3,"pi3b (Pi3 spherical build)","9221","","1"
Pi 3,"pi3b (Pi3 spherical build)","9222","","1"
Pi 3,"pi3b (Pi3 spherical build)","9223","","1"
Pi 3,"pi3b (Pi3 spherical build)","9224","","1"
Pi 3,"pi3b (Pi3 spherical build)","9225","","1"
Pi 3,"pi3b (Pi3 spherical build)","9226","","1"
Pi 3,"pi3b (Pi3 spherical build)","9227","","1"
Pi 3,"pi3b (Pi3 spherical build)","9228","","1"
Pi 3,"pi3b (Pi3 spherical build)","9229","6.0","1"
Pi 3,"pi3b (Pi3 spherical build)","9230","7.0","1"
Pi 3,"pi3b (Pi3 spherical build)","9231","","1"
Pi 3,"pi3b (Pi3 spherical build)","9232","7.0","1"
Pi 3,"pi3b (Pi3 spherical build)","9233","7.0","1"
Pi 3,"pi3b (Pi3 spherical build)","9234","7.0","1"
