System,Experiment,Shot ID,Sustainment Setpoint (kV),Graph (20913)
Pi 3,"pi3b (Pi3 spherical build)","2069","","1"
Pi 3,"pi3b (Pi3 spherical build)","2070","","1"
Pi 3,"pi3b (Pi3 spherical build)","2071","","1"
Pi 3,"pi3b (Pi3 spherical build)","2072","","1"
Pi 3,"pi3b (Pi3 spherical build)","2073","","1"
Pi 3,"pi3b (Pi3 spherical build)","2074","","1"
Pi 3,"pi3b (Pi3 spherical build)","2075","","1"
Pi 3,"pi3b (Pi3 spherical build)","2076","","1"
Pi 3,"pi3b (Pi3 spherical build)","2077","","1"
Pi 3,"pi3b (Pi3 spherical build)","2078","","1"
Pi 3,"pi3b (Pi3 spherical build)","2079","","1"
Pi 3,"pi3b (Pi3 spherical build)","2080","","1"
Pi 3,"pi3b (Pi3 spherical build)","2081","","1"
Pi 3,"pi3b (Pi3 spherical build)","2082","","1"
Pi 3,"pi3b (Pi3 spherical build)","2083","","1"
Pi 3,"pi3b (Pi3 spherical build)","2084","","1"
Pi 3,"pi3b (Pi3 spherical build)","2085","","1"
Pi 3,"pi3b (Pi3 spherical build)","2086","","1"
Pi 3,"pi3b (Pi3 spherical build)","2087","","1"
Pi 3,"pi3b (Pi3 spherical build)","2088","","1"
Pi 3,"pi3b (Pi3 spherical build)","2089","","1"
Pi 3,"pi3b (Pi3 spherical build)","2090","","1"
Pi 3,"pi3b (Pi3 spherical build)","2091","","1"
Pi 3,"pi3b (Pi3 spherical build)","2092","","1"
Pi 3,"pi3b (Pi3 spherical build)","2093","","1"
Pi 3,"pi3b (Pi3 spherical build)","2094","","1"
Pi 3,"pi3b (Pi3 spherical build)","2095","","1"
Pi 3,"pi3b (Pi3 spherical build)","2096","","1"
Pi 3,"pi3b (Pi3 spherical build)","2097","","1"
Pi 3,"pi3b (Pi3 spherical build)","2098","","1"
Pi 3,"pi3b (Pi3 spherical build)","2099","","1"
Pi 3,"pi3b (Pi3 spherical build)","2100","","1"
Pi 3,"pi3b (Pi3 spherical build)","2101","","1"
Pi 3,"pi3b (Pi3 spherical build)","2102","","1"
Pi 3,"pi3b (Pi3 spherical build)","2103","","1"
Pi 3,"pi3b (Pi3 spherical build)","2104","","1"
Pi 3,"pi3b (Pi3 spherical build)","2105","","1"
Pi 3,"pi3b (Pi3 spherical build)","2106","","1"
Pi 3,"pi3b (Pi3 spherical build)","2107","","1"
Pi 3,"pi3b (Pi3 spherical build)","2108","","1"
Pi 3,"pi3b (Pi3 spherical build)","2109","","1"
Pi 3,"pi3b (Pi3 spherical build)","2110","","1"
Pi 3,"pi3b (Pi3 spherical build)","2111","","1"
Pi 3,"pi3b (Pi3 spherical build)","2112","","1"
Pi 3,"pi3b (Pi3 spherical build)","2113","","1"
Pi 3,"pi3b (Pi3 spherical build)","2114","","1"
Pi 3,"pi3b (Pi3 spherical build)","2115","","1"
Pi 3,"pi3b (Pi3 spherical build)","2116","","1"
Pi 3,"pi3b (Pi3 spherical build)","2117","","1"
Pi 3,"pi3b (Pi3 spherical build)","2118","","1"
Pi 3,"pi3b (Pi3 spherical build)","2119","","1"
Pi 3,"pi3b (Pi3 spherical build)","2120","","1"
Pi 3,"pi3b (Pi3 spherical build)","2121","","1"
Pi 3,"pi3b (Pi3 spherical build)","2122","","1"
Pi 3,"pi3b (Pi3 spherical build)","2123","","1"
Pi 3,"pi3b (Pi3 spherical build)","2124","","1"
Pi 3,"pi3b (Pi3 spherical build)","2125","","1"
Pi 3,"pi3b (Pi3 spherical build)","2126","","1"
Pi 3,"pi3b (Pi3 spherical build)","2127","","1"
Pi 3,"pi3b (Pi3 spherical build)","2128","","1"
Pi 3,"pi3b (Pi3 spherical build)","2129","","1"
Pi 3,"pi3b (Pi3 spherical build)","2130","","1"
Pi 3,"pi3b (Pi3 spherical build)","2131","","1"
Pi 3,"pi3b (Pi3 spherical build)","2132","","1"
Pi 3,"pi3b (Pi3 spherical build)","2133","","1"
Pi 3,"pi3b (Pi3 spherical build)","2134","","1"
Pi 3,"pi3b (Pi3 spherical build)","2135","","1"
Pi 3,"pi3b (Pi3 spherical build)","2136","","1"
Pi 3,"pi3b (Pi3 spherical build)","2137","","1"
Pi 3,"pi3b (Pi3 spherical build)","2138","","1"
Pi 3,"pi3b (Pi3 spherical build)","2139","","1"
Pi 3,"pi3b (Pi3 spherical build)","2140","","1"
Pi 3,"pi3b (Pi3 spherical build)","2141","","1"
Pi 3,"pi3b (Pi3 spherical build)","2142","","1"
Pi 3,"pi3b (Pi3 spherical build)","2143","","1"
Pi 3,"pi3b (Pi3 spherical build)","2144","","1"
Pi 3,"pi3b (Pi3 spherical build)","2145","","1"
Pi 3,"pi3b (Pi3 spherical build)","2146","","1"
Pi 3,"pi3b (Pi3 spherical build)","2147","","1"
Pi 3,"pi3b (Pi3 spherical build)","2148","","1"
Pi 3,"pi3b (Pi3 spherical build)","2149","","1"
Pi 3,"pi3b (Pi3 spherical build)","2150","","1"
Pi 3,"pi3b (Pi3 spherical build)","2151","","1"
Pi 3,"pi3b (Pi3 spherical build)","2152","","1"
Pi 3,"pi3b (Pi3 spherical build)","2153","","1"
Pi 3,"pi3b (Pi3 spherical build)","2154","","1"
Pi 3,"pi3b (Pi3 spherical build)","2155","","1"
Pi 3,"pi3b (Pi3 spherical build)","2156","","1"
Pi 3,"pi3b (Pi3 spherical build)","2157","","1"
Pi 3,"pi3b (Pi3 spherical build)","2158","","1"
Pi 3,"pi3b (Pi3 spherical build)","2159","","1"
Pi 3,"pi3b (Pi3 spherical build)","2160","","1"
Pi 3,"pi3b (Pi3 spherical build)","2161","<puff ref>","1"
Pi 3,"pi3b (Pi3 spherical build)","2162","","1"
Pi 3,"pi3b (Pi3 spherical build)","2163","","1"
Pi 3,"pi3b (Pi3 spherical build)","2164","","1"
Pi 3,"pi3b (Pi3 spherical build)","2165","","1"
Pi 3,"pi3b (Pi3 spherical build)","2166","","1"
Pi 3,"pi3b (Pi3 spherical build)","2167","","1"
Pi 3,"pi3b (Pi3 spherical build)","2168","","1"
Pi 3,"pi3b (Pi3 spherical build)","2169","","1"
Pi 3,"pi3b (Pi3 spherical build)","2170","","1"
Pi 3,"pi3b (Pi3 spherical build)","2171","","1"
Pi 3,"pi3b (Pi3 spherical build)","2172","","1"
Pi 3,"pi3b (Pi3 spherical build)","2173","","1"
Pi 3,"pi3b (Pi3 spherical build)","2174","","1"
Pi 3,"pi3b (Pi3 spherical build)","2175","","1"
Pi 3,"pi3b (Pi3 spherical build)","2176","","1"
Pi 3,"pi3b (Pi3 spherical build)","2177","","1"
Pi 3,"pi3b (Pi3 spherical build)","2178","","1"
Pi 3,"pi3b (Pi3 spherical build)","2179","","1"
Pi 3,"pi3b (Pi3 spherical build)","2180","","1"
Pi 3,"pi3b (Pi3 spherical build)","2181","","1"
Pi 3,"pi3b (Pi3 spherical build)","2182","","1"
Pi 3,"pi3b (Pi3 spherical build)","2183","<puff ref>","1"
Pi 3,"pi3b (Pi3 spherical build)","2184","","1"
Pi 3,"pi3b (Pi3 spherical build)","2185","","1"
Pi 3,"pi3b (Pi3 spherical build)","2186","","1"
Pi 3,"pi3b (Pi3 spherical build)","2187","","1"
Pi 3,"pi3b (Pi3 spherical build)","2188","","1"
Pi 3,"pi3b (Pi3 spherical build)","2189","","1"
Pi 3,"pi3b (Pi3 spherical build)","2190","","1"
Pi 3,"pi3b (Pi3 spherical build)","2191","","1"
Pi 3,"pi3b (Pi3 spherical build)","2192","","1"
Pi 3,"pi3b (Pi3 spherical build)","2193","","1"
Pi 3,"pi3b (Pi3 spherical build)","2194","","1"
Pi 3,"pi3b (Pi3 spherical build)","2195","","1"
Pi 3,"pi3b (Pi3 spherical build)","2196","","1"
Pi 3,"pi3b (Pi3 spherical build)","2197","","1"
Pi 3,"pi3b (Pi3 spherical build)","2198","","1"
Pi 3,"pi3b (Pi3 spherical build)","2199","","1"
Pi 3,"pi3b (Pi3 spherical build)","2200","","1"
Pi 3,"pi3b (Pi3 spherical build)","2201","","1"
